autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Karel Čapek	Válka s mloky	Válka s mloky	1997	1935	978-80-86201-39-9.jpg	beletrie, scifi-fantasy	Autor ve svém slavném románu popisuje nezadržitelnou invazi nepřátelské síly, která byla zpočátku bezvýznamná, ba směšná. Zároveň však upozorňuje na skutečnost, že demokratické síly ji ve svém důsledku podporovaly a tím pádem se spolupodílely na svém zničení. Touto kritikou postihuje především politické, průmyslové a obchodní kruhy. Ve smírné ukončení už nedokáže věřit – spoléhá na to, že se „mloci\' postaví jedni proti druhým a vzájemně se vyhubí.
Emil Zola	Zabiják	L'Asommoir	1997	1876	80-85944-33-2.jpg	beletrie	Naturalistický román, který pojednává o Gervaise, venkovské dívce, která se spolu s dětmi přestěhuje do Paříže spolu se svým druhem Lantierem. Gervaisa pracuje jako pradlena a začíná se o ní ucházet klempířský dělník Coupeau, kterého si vezme za muže. Později si otevře prádelnu a narodí se jí dcera Nana. Zvrat nastane v okamžiku, kdy Coupeau spadne ze střechy a je dlouho upoután na lůžko. Coupeau si zvykne na nicnedělání a začne pít. Zpočátku chodí na skleničku s přáteli, později pije víc a víc...
Umberto Eco	Jméno Růže	Il nome della rosa	1997	1980	978-80-86922-26-3.jpg	beletrie	Historický román italského spisovatele. Eco v románu využil své hluboké teoretické a odborné znalosti. Čtenář, fascinován srozumitelnou hloubkou Ecova pohledu, proniká po jeho boku do tajů teologie, filozofie i středověké politiky, do milostných vytržení, do víru hlubinných duchovních prozření i smyslné rozkoše, tajů Aristotelovy Knihy smíchu, středověkých léčivých herbářů i jedů, uhranutí mladého teologa mladičkou láskou, kterou – aniž zná alespoň její jméno – si nese životem až na dno svých dnů.
Stendhal	Červený a černý	Le Rouge et le Noir	1997	1830	80-85634-43-0.jpg	beletrie	Román, v němž Stendhal červenou barvou symbolizuje revoluci a černou barvou tmářství a despotismus. Syn venkovského dřevaře Julien Sorel chce dosáhnout v životě vynikajícího postavení. Potlačuje v sobě sympatie k Napoleonovi, protože jako jeho obdivovatel by ve stávajících politických poměrech by s nimi nemohl získat kariéru. Ačkoliv opovrhuje náboženstvím, dává se bez přesvědčení na kněžskou dráhu, neboť ta je nezbytným předpokladem ke kariéře, po níž touží. Sorel je pokrytec, který předstírá nebo utajuje city a názory podle toho, jak to vyžaduje jeho vlastní zájem. Svou ctižádost vnáší i do milostného poměru, který mu má pomáhat v kariéře. Postupně miluje dvě ženy, nejprve paní de Rénal, starostovu ženu, později, když pronikne do vysoké pařížské společnosti, Mathildu de la Mole. Sorel je však stále nespokojený, poznává, že ve střízlivé měšťanské době je každý úspěch problematický. Když postřelí paní de Renal a dostane se před soud, odmítá přijmout milost od společnosti, kterou nenávidí, a raději umírá na popravišti jakožto vzbouřený plebejec.
Gustave Flaubert	Paní Bovaryová	Madame Bovary	1997	1857	80-85944-26-X.jpg	beletrie	Jeden z nejslavnějších románů 19. století. Emma Bovaryová je obětí středostavovských konvencí poloviny 19. století. Jako mladou romantickou dívku ji provdali za venkovského lékaře, a ona tak příliš záhy poznává ubíjející monotónnost manželského života. Snaží se před nudou uniknout malým flirtem a marnotratnými nákupy, což značně otřese rodinným rozpočtem. Zoufalá Ema tvrdě doplácí na svou naivitu, ocitá se v dluzích a marně hledá schůdné řešení...
Lev Nikolajevič Tolstoj	Anna Karenina	Anna Karenina	1997	1877	978-80-7335-285-1.jpg	beletrie	Všechny šťastné rodiny jsou si podobné, každá nešťastná rodina je nešťastná po svém. Výmluvný postřeh giganta ruského realistického románu Lva Nikolajeviče Tolstého otevírá jedno z nejslavnějších psychologických děl v dějinách literatury, v němž si spisovatel po monumentální fresce Vojna a mír dopřál komornější zápletku a dalekosáhlým přetvořením látek módních romancí vyjádřil odpor k pseudomorálce „vyšších kruhů'. Inspirován skutečnou událostí, kdy se spořádaně vyhlížející mladá dáma vrhla pod kola nákladního vlaku, vytvořil Tolstoj příběh o skandálním poklesku „dobře provdané' krasavice, která je přinucena váhat mezi salonním životem v nelásce a přirozeným právem na štěstí. Vzplanutí choti carského hodnostáře k důstojníku Vronskému, jež spisovatel umně proplétá s osudy a krizemi dalších příbuzných a přátel, je pro Annu o to tragičtější, že na rozdíl od dobových mravokárců nedovede být pokrytecká a milostný poměr ani jeho následky netají. Nesmrtelnost tohoto románu potvrzuje i řada filmových adaptací, v nichž titulní postavu postupně ztvárnily například Greta Garbo, Vivien Leighová, Taťjana Samojlovová nebo Sophie Marceauová.
Milan Kundera	Nesmrtelnost	Nemrtelnost	1997	1990	80-7108-210-4.jpg	beletrie	Nesmrtelnost nejúplněji z celého dosavadního Kunderova Díla ztělesňuje román jako hravý nápad, který se rozvíjí před čtenářovýma očima, a přitom strhuje do hry autorův skvělý intelekt i silnou obraznost, takže hravá poloha je kontrapunktována osudovými tématy lásky a předstírání, pravdy a lži, složitosti života a smrti.
William Ford Gibson	Neuromancer	Neuromancer	2000	1984	80-7193-048-2.jpg	beletrie, scifi-fantasy	Román desetiletí, oceněn Nebulou a Hugem. Dnes již kultovní kniha příznivců kyberpunku. Jedinečná možnost seznámit se se stěžejním dílem kyberpunku v perfektní podobě, kdy můžete vychutnat brilantnost a bohatost Gibsonova jazyka. Ústřední postavou románu je Case, computerový zloděj, který vstupuje do celosvětové sítě počítačů a manipuluje s uloženými daty. Příběh sleduje snahu dvou mocných programů umělé inteligence o nelegální spojení do jednoho celku, schopného rozluštit poselství mimozemské civilizace.
Friedrich Wilhelm Nietzsche	Tak pravil Zarathustra	Also sprach Zarathustra	2000	1885	978-80-7388-147-4.jpg	filozofie, poezie	Hlavní básnicko-filozofické dílo originálního německého filozofa (1844–1900). Formou aforismů, legend a mýtů formuluje základní teze své filozofie. Nietzsche zde rozpoutává celý ohňostroj rétorického a poetického umění. Dává jasně najevo, že člověk není cílem sám o sobě, ale že jeho posláním je „překročit sám sebe“.
Arthur Charles Clarke	2001: Vesmírná odysea	2001: A Space Odyssey	2000	1968	80-7176-563-5.jpg	beletrie, scifi-fantasy	Na samém prahu jednadvacátého století vzlétá ze Země raketa a vydává se s velkolepým posláním na pouť k Saturnu. Ani jeden z obou pilotů však nemá ponětí o pravém cíli cesty. Převratné tajemství střeží tři vědci, uspaní v umělém hibernačním spánku, a šestý člen posádky - nejdokonalejší počítač třetí generace, který současně svým způsobem představuje i nejdokonalejšího člena expedice. Cesta čarokrásným vesmírem se náhle mění v napínavé drama...
Isaac Asimov	Druhá Nadace	Second Foundation	2000	1953	80-900081-8-6.jpg	beletrie, scifi-fantasy	Seldonův plán leží v troskách – a s ním i impérium Nadace. Na Mezka, mutanta netušených psychických schopností, nestačily ani rovnice nejnadanějšího matematika všech dob. Vše však ještě není ztraceno: kdesi na druhém konci Galaxie se skrývá Drahá Nadace, v níž se i přes dlouhá století barbarství měly zachovat veškeré vědomosti lidstva. Mezkovi se Druhou Nadaci napoprvé nepodařilo najít. Teď si je jistý, že napodruhé to již vyjde. Osud lidstva spočívá v rukou Arkadie Darellové, čtrnáctileté dívky obtížené hrozným tajemstvím. A zatímco se vědci Druhé Nadace připravují na rozhodující střetnutí s Mezkem, zástupci přemožené První Nadace se vydávají do vesmíru na beznadějnou cestu. I oni chtějí přispět ke zkáze Druhé Nadace – dřív, než ona zničí je!
Antoine de Saint-Exupéry	Malý princ	Le Petit Prince	2000	1943	80-00-00586-7.jpg	beletrie	Malý princ, kouzelná pohádková bytost, přichází na naši Zemi ze vzdálených vesmírných světů, aby se kdesi v Africké poušti setkal s autorem našeho příběhu a zjevil mu tajemství své podivuhodné životní pouti. Ale zjeví mu vlastně daleko víc: tajemství čistého srdce, dobra a krásy. Je to opravdu líbezná knížka, která vám bude jistě právě tak milá a blízká, jako byla všem čtenářským generacím, a k níž se budete i později najednou rádi vracet.
Egon Bondy	Buddha	Buddha	2000	1968	80-86685-62-4.jpg	duchovní, buddhismus	Bondyho monografie o Buddhovi (1. vyd. 1968) představuje patrně nejserioznější a nejhlubší filosofický portrét tohoto významného světového myslitele v češtině.
John D. Barrow	Teorie všeho	Theories of Everything: The Quest for Ultimate Explanation	2000	1991	80-204-0602-6.jpg	věda	Kniha anglického profesora se věnuje fyzikálním teoriím a hledá odpovědi na provokativní otázky jako například: Kolik rozměrů má prostor? – Může čas začít a zase skončit? – Může vzniknout umělý život? apod. Zabývá se také červími dírami mezi světy, černými dírami, povahou času, filosofií matematiky a vědou obecně.
George Orwell	1984	Nineteen Eighty-Four	2000	1949	80-7309-002-3.jpg	beletrie, scifi-fantasy	1984, dnes již klasické dílo antiutopického žánru, je bezesporu jedním z nejpozoruhodnějších románů 20. století a brilantní analýzou všech totalitních systémů. ''Anti-utopie'' má i svého ''antihrdinu'': je jím Winston Smith, obyčejný, ne příliš statečný člověk, který si nepřeje nic světoborného: chce jen poznat skutečnou, ne zmanipulovanou podobu minulosti, věřit tomu, co vidí na vlastní oči a mít svobodu tvrdit, že dva a dva jsou čtyři...
Stanislav Groff	Za hranice mozku	Beyond the brain	2000	1985	80-902156-3-7.jpg	psychologie, psychedelie	Český exilový psychiatr vymezuje ucelený model lidského vědomí a jeho vztahu k mozku v rámci transpersonální psychologie.
Vítězslav Nezval	Moderní básnické směry	Moderní básnické směry	2000	1937	22-132-84.jpg	poezie	Výklad a rozbor moderních básnických směrů, které se od počátku 20. století do 30. let objevily v naší i zahraniční literatuře.
Platon	Faidros	Φαῖδρος	2000	-350	80-7298-015-7.jpg	filozofie	Dialog Sókrata a Faidra o lásce a krásnu.
Zygmunt Bauman	Globalizace. Důsledky pro člověka.	Globalization. The Human Consequences	2000	1998	80-204-0817-7.jpg	socio-ekonomie	Kniha je příspěvkem k rozvinuté debatě o globalizaci a pokouší se ukázat, že globalizace se týká mnohem hlubších souvislostí než těch, které se jeví na povrchu. Odhalením sociálních kořenů se autor snaží rozptýlit mlhu zahalující tento termín.
Ray Monk	Wittgenstein. Úděl génia	Ludwig Wittgenstein: The Duty of Genius	2000	1990	80-85906-32-5.jpg	filozofie, biografie	V této první a dodnes jediné skutečně úplné biografii Wittgensteina představuje britský autor Ray Monk filosofickou skepsi jako životní formu. Wittgensteinův génius nedůvěřuje od svých počátků akademické filosofii a vyhledává vytrvale školu života. Nechce po sobě zanechat žádné učení, žádnou školu, odmítá podat důkazy svého myšlení. Teprve následující generace v něm objevuje mistrného myslitele, bez něhož si filosofii 20. století nelze představit.
Květoslav Minařík	Jóga v životě moderního člověka	Jóga v životě moderního člověka	2000	1991	80-85202-02-6.jpg	duchovní, jóga	Tématem tohoto svazku je jóga jako způsob života. Je to úzký výběr drobných prací, které Květoslav Minařík v průběhu tří desetiletí napsal jako odpovědi na otázky a problémy svých žáků.
